Date,Observer,Location,Point,StandardizedLocationName,newspotnames,index,cmc_comments,answers,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
5/30/2014,Josh,Black Mesa SP,9,BLKM,NA,224,"CHECK, does not exist in map",,14:13,36.81218,-102.84293,70,15 to 20,too windy to hear; quit surveys after this one,,
5/30/2014,Roy,Black Mesa SP,1,BLKM,BLKM-PC02,350,,,13:35,36.80976,-102.8773,60,15 to 20,,WEKI,
5/30/2014,Roy,Black Mesa SP,3,BLKM,BLKM-PC04,349,,,13:12,36.82425,-102.87724,60,15 to 20,,,
5/30/2014,Roy,Black Mesa SP,5,BLKM,BLKM-PC06,348,,,12:50,36.83884,-102.87701,30,0 to 5,,,
5/30/2014,Roy,Black Mesa SP,6,BLKM,NA,351,"CHECk, off from PC6.",,13:52,36.81885,-102.86845,70,20+,,HOLA,
5/30/2014,Roy,Black Mesa SP,8,BLKM,NA,352,"CHECK, does not exist in map",,14:10,36.81569,-102.85078,70,20+,,,
6/27/2014,Jessica,Black Mesa SP,1,BLKM,NA,140,"probably PC1, just off?",,14:39,36.8,-102.88,70,15 to 20,ADIOS HOLA'S!!!,,
6/27/2014,Jessica,Black Mesa SP,3,BLKM,NA,139,"probably PC3, just off?",,14:22,36.82,-102.88,90,15 to 20,,,
6/27/2014,Jessica,Black Mesa SP,5,BLKM,BLKM-PC05,138,,,14:00,36.83,-102.88,90,10 to 15,,,
6/27/2014,Kristen,Black Mesa SP,2,BLKM,BLKM-PC02,263,,,14:36,36.80986,-102.87724,50,15 to 20,,,
6/27/2014,Kristen,Black Mesa SP,4,BLKM,BLKM-PC04,262,,,14:14,36.82421,-102.87734,60,10 to 15,trudk stopped to talk,,
6/27/2014,Kristen,Black Mesa SP,6,BLKM,BLKM-PC06,261,,,13:56,36.83885,-102.87694,70,5 to 10,,,
6/6/2013,MAB,Black Mesa SP,Black Mesa M1,BLKM,BLKM-PC02,386,,,9:58,36.80976,-102.8773,95,0-5,,,
6/6/2013,MAB,Black Mesa SP,Black Mesa M2,BLKM,BLKM-PC04,387,,,10:16,36.82425,-102.87724,75,0-5,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,CADD,CADDPC02,5,,,7:58,35.31725,-98.48264,100,0 to 5,Sprinkling,,SCFL
4/20/2014,Crystina,Caddo Co Center Pivots,6,CADD,CADDPC06,6,,,8:28,35.34692,-98.48264,100,0 to 5,,,"HOLA, LASP, VESP"
