,Date,Observer,Location,Point,StandardizedLocationName,newspotnames,index,cmc_comments,answers,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
41,6/29/2013,JDR,Rita Blanca NG,RBNG-PC22,NA,RBNG-PC22,17,,,19:06,36.5305,-102.94289,100,0-5 E,,,
42,6/29/2013,JDR,Rita Blanca NG,RBNG-PC24,NA,RBNG-PC24,18,,,19:25,36.53054,-102.92439,100,5-10 E,Winds increasing; storms to west,,
43,6/29/2013,JDR,Rita Blanca NG,RBNG-PC26,NA,RBNG-PC26,19,,,19:41,36.53049,-102.90648,100,10-15 E,,,
44,6/29/2013,MDF,Rita Blanca NG,RBNG-PC23,NA,RBNG-PC23,51,,,19:09,36.53057,-102.93358,100%,0 to 5,,,
45,6/29/2013,MDF,Rita Blanca NG,RBNG-PC25,NA,RBNG-PC25,52,,,19:25,36.53054,-102.91554,100%,0 to 5,,,
46,6/29/2013,MDF,Rita Blanca NG,RBNG-PC27,NA,RBNG-PC27,53,,,19:41,36.53054,-102.89727,100%,0 to 5,,,
47,6/3/2013,MDF,Selman Ranch,SELM-PC1,NA,SELMPC01,20,,,12:09,36.76845,-99.38728,0%,10 to 15,,,
48,6/30/2013,MDF,Rita Blanca NG,RBNG-PC12,NA,RBNG-PC12,54,,,7:18,36.53065,-102.71554,10%,5 to 10,,,
49,6/30/2013,MDF,Rita Blanca NG,RBNG-PC13,NA,NA,55additional,"RBNG-PC13?  South of it, in order.",,7:39,36.5207,-102.72473,10%,5 to 10,,,
50,6/30/2013,MDF,Rita Blanca NG,RBNG-PC14,NA,RBNG-PC14,56,,,7:51,36.5307,-102.73385,10%,5 to 10,,,
51,6/30/2013,MDF,Rita Blanca NG,RBNG-PC15,NA,RBNG-PC15,57,,,8:03,36.53067,-102.74321,10%,5 to 10,,,
52,6/30/2013,MDF,Rita Blanca NG,RBNG-PC16,NA,RBNG-PC16,58,,,8:15,36.53066,-102.75236,10%,5 to 10,,,
53,6/30/2013,MDF,Rita Blanca NG,RBNG-PC17,NA,RBNG-PC17,59,,,8:28,36.53065,-102.76153,10%,5 to 10,,,
54,6/30/2013,MDF ,Rita Blanca NG,RBNG-PC18,NA,RBNG-PC18,60,,,8:42,36.53065,-102.77064,10%,5 to 10,,,
55,6/30/2013,MDF ,Rita Blanca NG,RBNG-PC19,NA,RBNG-PC19,61,,,8:55,36.53066,-102.77992,10%,10 to 15,,,
56,6/30/2013,MDF ,Rita Blanca NG,RBNG-PC20,NA,RBNG-PC20,62,,,9:10,36.53063,-102.78953,10%,10 to 15,,,
57,6/30/2013,MDF ,Rita Blanca NG,RBNG-PC21,NA,RBNG-PC21,63,,,9:24,36.53064,-102.79861,10%,10 to 15,,,
58,6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,NA,DRMD-PC04,1,,,12:37,36.31837,-97.98165,15%,10-15 N,Pastureland,,
59,6/5/2013,MDF,Rita Blanca NG,RBNG-PC10,NA,RBNG-PC10,32,,,11:38,36.52319,-102.69707,0%,10 to 15,,,
60,6/5/2013,MDF,Rita Blanca NG,RBNG-PC11,NA,RBNG-PC11,33,,,11:52,36.53065,-102.69707,0%,10 to 15,,,
61,6/5/2013,MDF,Rita Blanca NG,RBNG-PC2,NA,RBNG-PC02,24,,,9:41,36.51604,-102.62932,0%,10 to 15,,,
62,6/5/2013,MDF,Rita Blanca NG,RBNG-PC3,NA,RBNG-PC03,25,,,9:59,36.5161,-102.63846,0%,10 to 15,,,
63,6/5/2013,MDF,Rita Blanca NG,RBNG-PC4,NA,RBNG-PC04,26,,,10:16,36.51605,-102.64748,0%,10 to 15,,,
64,6/5/2013,MDF,Rita Blanca NG,RBNG-PC5,NA,RBNG-PC05,27,,,10:30,36.51603,-102.65646,0%,10 to 15,,,
65,6/5/2013,MDF,Rita Blanca NG,RBNG-PC6,NA,RBNG-PC06,28,,,10:42,36.51608,-102.66584,0%,10 to 15,,,
66,6/5/2013,MDF,Rita Blanca NG,RBNG-PC7,NA,RBNG-PC07,29,,,10:57,36.51614,-102.6749,0%,10 to 15,,,
67,6/5/2013,MDF,Rita Blanca NG,RBNG-PC8,NA,RBNG-PC08,30,,,11:11,36.51611,-102.68391,0%,10 to 15,,,
68,6/5/2013,MDF,Rita Blanca NG,RBNG-PC9,NA,RBNG-PC09,31,,,11:25,36.51621,-102.6933,0%,10 to 15,,,
