Date,Observer,Location,Point,StandardizedLocationName,LocalSurveyName,Species,whattodowiththissighting,Quantity,Heard/Seen,Angle (deg),Distance (m),Breeding Code,Flyover,Notes
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,WCSP,KEEP,2,S,20,10,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,LOSH,KEEP,1,S,260,90,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,WCSP,KEEP,1,S,290,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,AMCR,KEEP,1,S,250,170,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,MODO,KEEP,1,S,100,200,,,
4/20/2014,Crystina,Caddo Co Center Pivots,14,,,MODO,KEEP,1,S,190,60,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,LASP,KEEP,2,S,340,10,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,SWHA,KEEP,2,S,150,70,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,LASP,KEEP,2,S,140,50,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,EAPH,KEEP,1,H,350,110,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,NOMO,KEEP,1,H,330,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,HASP,KEEP,1,H,320,120,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,CACH,KEEP,1,H,350,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,BHCO,KEEP,1,H,310,150,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,AMCR,KEEP,1,S,270,250,,Landed,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,GRSP,KEEP,1,H,190,60,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,GRSP,KEEP,1,H,100,40,,,
4/20/2014,Crystina,Caddo Co Center Pivots,18,,,BARS,KEEP,1,S,310,180,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,LASP,KEEP,1,H,330,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,NOCA,KEEP,1,H,160,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,WCSP,KEEP,1,H,350,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,CACH,KEEP,1,H,340,90,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,WCSP,KEEP,5,S,290,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,MODO,KEEP,3,S,330,40,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,LASP,KEEP,2,S,350,10,,Landed,Aggressively chasing each other
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,FISP,KEEP,1,H,40,100,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,BHCO,KEEP,1,H,150,50,,Landed,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,FISP,KEEP,1,H,190,150,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,LASP,KEEP,1,S,270,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,NOMO,KEEP,1,S,60,30,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,WCSP,KEEP,6,S,50,30,,Landed,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,NOMO,KEEP,1,H,10,250,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,NOMO,KEEP,1,H,40,50,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,LASP,KEEP,1,S,290,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,22,,,WCSP,KEEP,9,S,290,20,,,
4/20/2014,Crystina,Caddo Co Center Pivots,26,,,EAME,KEEP,1,H,340,200,,,
4/20/2014,Crystina,Caddo Co Center Pivots,26,,,WEME,KEEP,1,H,300,130,,,
4/20/2014,Crystina,Caddo Co Center Pivots,26,,,NOHA,KEEP,1,S,20,180,,Flyover,
4/20/2014,Crystina,Caddo Co Center Pivots,26,,,HOLA,KEEP,1,H,180,50,,,
4/23/2014,Crystina,Tallgrass Prairie,23,,,EAME,KEEP,1,S,100,20,,,
4/23/2014,Crystina,Tallgrass Prairie,23,,,BARS,KEEP,5,S,350,40,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,23,,,BARS,KEEP,1,S,280,30,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,23,,,EAME,KEEP,1,H,140,20,,,
4/23/2014,Crystina,Tallgrass Prairie,23,,,EAME,KEEP,1,H,250,170,,,
4/23/2014,Crystina,Tallgrass Prairie,23,,,meadowlark sp.,KEEP,3,S,180,50,,,"agressive behavior, chasing each other"
4/23/2014,Crystina,Tallgrass Prairie,23,,,SAVS,KEEP,1,H,170,30,,,heard then seen
4/23/2014,Crystina,Tallgrass Prairie,23,,,SAVS,KEEP,1,S,190,30,,,
4/23/2014,Crystina,Tallgrass Prairie,23,,,STFL,KEEP,1,S,20,30,,Landed,
4/23/2014,Crystina,Tallgrass Prairie,23,,,meadowlark sp.,KEEP,1,S,50,80,,Landed,
4/23/2014,Crystina,Tallgrass Prairie,23,,,EAME,KEEP,1,H,60,100,,,
4/23/2014,Crystina,Tallgrass Prairie,24,,,EAME,KEEP,1,H,90,30,,,
4/23/2014,Crystina,Tallgrass Prairie,24,,,GRSP,KEEP,1,H,260,20,,,
4/23/2014,Crystina,Tallgrass Prairie,24,,,GRSP,KEEP,1,H,190,50,,,
4/23/2014,Crystina,Tallgrass Prairie,24,,,EAME,KEEP,1,H,270,100,,,
4/23/2014,Crystina,Tallgrass Prairie,24,,,EAME,KEEP,1,H,180,60,,,
4/23/2014,Crystina,Tallgrass Prairie,24,,,GRSP,KEEP,1,H,150,40,,,
4/23/2014,Crystina,Tallgrass Prairie,24,,,TUVU,KEEP,2,S,280,200,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,24,,,meadowlark sp.,KEEP,1,S,290,40,,,not singing
4/23/2014,Crystina,Tallgrass Prairie,24,,,TUVU,KEEP,1,S,10,300,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,24,,,EAME,KEEP,1,H,30,150,,,
4/23/2014,Crystina,Tallgrass Prairie,24,,,GRSP,KEEP,1,H,100,20,,,
4/23/2014,Crystina,Tallgrass Prairie,25,,,EAME,KEEP,1,H,80,100,,,
4/23/2014,Crystina,Tallgrass Prairie,25,,,EAME,KEEP,1,H,190,60,,,
4/23/2014,Crystina,Tallgrass Prairie,25,,,EAME,KEEP,1,H,160,30,,,heard then seen
4/23/2014,Crystina,Tallgrass Prairie,25,,,LASP,KEEP,2,H,30,30,CN,,heard then seen
4/23/2014,Crystina,Tallgrass Prairie,25,,,TUVU,KEEP,1,S,340,130,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,25,,,NOBO,KEEP,1,H,150,150,,,
4/23/2014,Crystina,Tallgrass Prairie,25,,,meadowlark sp.,KEEP,1,S,170,200,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,25,,,EAME,KEEP,1,S,110,30,,,seen then heard
4/23/2014,Crystina,Tallgrass Prairie,25,,,meadowlark sp.,KEEP,1,S,240,80,,Landed,
4/23/2014,Crystina,Tallgrass Prairie,25,,,LASP,KEEP,4,S,30,50,,,
4/23/2014,Crystina,Tallgrass Prairie,25,,,sparrow sp.,KEEP,1,S,350,70,,Landed,
4/23/2014,Crystina,Tallgrass Prairie,25,,,TUVU,KEEP,2,S,40,300,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,26,,,GRSP,KEEP,1,H,140,30,,,
4/23/2014,Crystina,Tallgrass Prairie,26,,,TUVU,KEEP,1,H,220,150,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,26,,,EAME,KEEP,1,H,160,70,,,
4/23/2014,Crystina,Tallgrass Prairie,26,,,GRSP,KEEP,1,H,180,20,,,
4/23/2014,Crystina,Tallgrass Prairie,26,,,AMCR,KEEP,2,H,140,200,,,
4/23/2014,Crystina,Tallgrass Prairie,26,,,EAME,KEEP,1,H,190,100,,,
4/23/2014,Crystina,Tallgrass Prairie,26,,,NOBO,KEEP,1,H,170,70,,,
4/23/2014,Crystina,Tallgrass Prairie,26,,,EAME,KEEP,1,H,60,50,,,"heard, then seen"
4/23/2014,Crystina,Tallgrass Prairie,26,,,UNKNOWN,KEEP,20,S,20,200,,,"too far away to ID, swallowlike behavior, might be more over the hill"
4/23/2014,Crystina,Tallgrass Prairie,26,,,meadowlark sp.,KEEP,1,S,200,50,,,
4/23/2014,Crystina,Tallgrass Prairie,27,,,EAME,KEEP,1,H,180,70,,,
4/23/2014,Crystina,Tallgrass Prairie,27,,,GRSP,KEEP,1,H,170,30,,,
4/23/2014,Crystina,Tallgrass Prairie,27,,,NOBO,KEEP,1,H,190,200,,,
4/23/2014,Crystina,Tallgrass Prairie,27,,,FISP,KEEP,1,H,30,150,,,
4/23/2014,Crystina,Tallgrass Prairie,27,,,EAME,KEEP,1,H,150,30,,,
4/23/2014,Crystina,Tallgrass Prairie,27,,,AMCR,KEEP,1,H,160,250,,,
4/23/2014,Crystina,Tallgrass Prairie,27,,,NOBO,KEEP,1,H,220,180,,,
4/23/2014,Crystina,Tallgrass Prairie,27,,,NOCA,KEEP,1,H,70,70,,,heard then seen
4/23/2014,Crystina,Tallgrass Prairie,27,,,meadowlark sp.,KEEP,1,S,250,50,,,not singing
4/23/2014,Crystina,Tallgrass Prairie,27,,,KILL,KEEP,1,H,50,60,,,heard then seen
4/23/2014,Crystina,Tallgrass Prairie,27,,,TUVU,KEEP,2,S,200,300,,,
4/23/2014,Crystina,Tallgrass Prairie,27,,,sparrow sp.,KEEP,1,S,170,50,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,28,,,RBWO,KEEP,1,H,150,50,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,AMCR,KEEP,1,H,60,150,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,AMCR,KEEP,1,H,340,130,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,EAME,KEEP,1,H,40,100,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,AMCR,KEEP,1,H,140,200,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,BGGN,KEEP,1,H,80,30,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,BLJA,KEEP,1,H,170,40,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,TUTI,KEEP,1,H,50,60,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,WITU,KEEP,1,H,30,140,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,BGGN,KEEP,1,S,160,20,,,
4/23/2014,Crystina,Tallgrass Prairie,28,,,UNKNOWN,KEEP,1,S,180,40,,Landed,"small bird, flew into tree"
4/23/2014,Crystina,Tallgrass Prairie,28,,,CANG,KEEP,2,H,60,200,,Flyover,"heard, then seen"
4/23/2014,Crystina,Tallgrass Prairie,28,,,EAME,KEEP,1,H,250,150,,,
4/23/2014,Crystina,Tallgrass Prairie,29,,,EAME,KEEP,1,H,200,30,,,
4/23/2014,Crystina,Tallgrass Prairie,29,,,SWHA,KEEP,8,S,350,150,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,29,,,EAME,KEEP,1,H,10,100,,,
4/23/2014,Crystina,Tallgrass Prairie,29,,,EAME,KEEP,1,H,90,40,,,
4/23/2014,Crystina,Tallgrass Prairie,29,,,SWHA,KEEP,1,S,30,50,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,29,,,AMKE,KEEP,1,S,180,150,,,
4/23/2014,Crystina,Tallgrass Prairie,29,,,AMPI,KEEP,24,H,40,60,,,"heard then seen, grazing in burned area, moght be more beyond ridge"
4/23/2014,Crystina,Tallgrass Prairie,30,,,EAME,KEEP,1,H,10,70,,,
4/23/2014,Crystina,Tallgrass Prairie,30,,,EAME,KEEP,1,H,100,40,,,
4/23/2014,Crystina,Tallgrass Prairie,30,,,SWHA,KEEP,1,S,350,300,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,30,,,EAME,KEEP,1,H,300,150,,,
4/23/2014,Crystina,Tallgrass Prairie,30,,,swallow sp.,KEEP,1,S,190,70,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,30,,,SWHA,KEEP,2,S,160,200,,Flyover,
4/23/2014,Crystina,Tallgrass Prairie,31,,,EAME,KEEP,1,H,40,150,,,
4/23/2014,Crystina,Tallgrass Prairie,31,,,EAME,KEEP,1,H,30,200,,,
4/23/2014,Crystina,Tallgrass Prairie,31,,,EAME,KEEP,1,H,170,60,,,
4/23/2014,Crystina,Tallgrass Prairie,31,,,UNKNOWN,KEEP,2,S,350,300,,,smaller passerines
4/23/2014,Crystina,Tallgrass Prairie,31,,,sparrow sp.,KEEP,1,H,90,30,A,,
4/23/2014,Crystina,Tallgrass Prairie,31,,,sparrow sp.,KEEP,4,H,170,40,,Landed,was able to ID as LASP
4/23/2014,Crystina,Tallgrass Prairie,31,,,LASP,KEEP,1,H,200,30,,,
4/23/2014,Crystina,Tallgrass Prairie,31,,,sparrow sp.,KEEP,2,S,180,50,,Flyover,possibly SAVS
4/23/2014,Crystina,Tallgrass Prairie,32,,,EAME,KEEP,4,S,350,70,,Landed,
4/23/2014,Crystina,Tallgrass Prairie,32,,,MODO,KEEP,1,S,330,100,,,
4/23/2014,Crystina,Tallgrass Prairie,32,,,EAME,KEEP,1,H,270,50,,,
4/23/2014,Crystina,Tallgrass Prairie,32,,,EAME,KEEP,1,H,30,80,,,
4/23/2014,Crystina,Tallgrass Prairie,32,,,EAME,KEEP,1,H,320,60,,,
4/23/2014,Crystina,Tallgrass Prairie,32,,,EAME,KEEP,1,H,90,100,,,
