Date,Observer,Location,Point,StandardizedLocationName,LocalSurveyName,Species,Quantity,Heard/Seen,Angle (deg),Distance (m),Breeding Code,Flyover,Notes
6/5/13,MDF,Rita Blanca NG,RBNG-PC4,,,RWBL,3,S,0,125,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC4,,,RWBL,1,S,80,85,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC4,,,GRSP,1,H,100,110,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC4,,,RWBL,2,S,275,120,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC4,,,WEME,1,S,270,70,,Flyover,flyby
6/5/13,MDF,Rita Blanca NG,RBNG-PC4,,,HOLA,1,H,180,95,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC4,,,HOLA,2,S,285,190,,Flyover,flying together 
6/5/13,MDF,Rita Blanca NG,RBNG-PC4,,,GTGR,1,S,350,410,,,very distant in field 
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,WEME,1,H,95,70,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,WEME,1,S,0,125,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,RWBL,1,H,310,210,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,RWBL,1,H,25,130,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,HOLA,1,H,105,105,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,RWBL,1,H,350,175,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,WEME,1,H,270,110,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,RWBL,2,H,170,205,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,HOLA,1,H,180,90,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,GRSP,1,H,110,115,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,WEME,1,H,180,195,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,MODO,1,S,185,300,,Flyover,flying
6/5/13,MDF,Rita Blanca NG,RBNG-PC5,,,KILL,1,H,170,210,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC6,,,WEME,1,H,180,70,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC6,,,WEME,1,H,0,130,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC6,,,RWBL,1,H,90,190,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC6,,,CHRA,1,S,175,230,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC6,,,RWBL,3,H,0,110,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC6,,,WEME,1,H,240,200,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC6,,,HOLA,1,H,10,45,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC6,,,HOLA,1,H,115,80,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,GRSP,1,H,10,75,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,RWBL,1,H,0,110,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,WEME,2,S,95,120,,Flyover,flying
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,WEME,1,H,320,150,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,HOLA,1,H,180,95,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,RWBL,1,H,90,200,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,GRSP,1,H,300,90,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,SWHA,1,S,170,100,,,later seen hunting
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,NOHA,1,S,195,350,,,distant
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,HOLA,1,H,45,90,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,WEME,1,H,0,180,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC7,,,RWBL,2,S,15,95,,Flyover,flyover
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,WEME,1,H,270,105,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,HOLA,1,H,160,90,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,HOLA,2,H,150,95,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,HOLA,1,S,180,100,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,HOLA,1,S,110,205,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,RWBL,1,H,0,300,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,HOLA,2,H,5,95,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,HOLA,1,H,280,100,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,HOLA,1,H,310,90,,,later seen
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,HOLA,2,S,175,105,P,,mating pair?
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,WEME,1,H,350,120,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC8,,,CHRA,2,S,200,450,,Flyover,flying
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,WEME,1,H,45,115,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,WEME,1,H,290,110,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,HOLA,2,H,0,80,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,HOLA,1,H,15,60,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,LBCU,1,H,90,310,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,HOLA,1,H,180,50,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,CONI,1,H,180,95,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,CHRA,1,S ,170,60,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,HOLA,3,H,270,45,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,HOLA,1,H,315,85,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,HOLA,2,H,195,30,,,later seen after
6/5/13,MDF,Rita Blanca NG,RBNG-PC9,,,HOLA,1,S,30,70,,Landed,landed
6/5/13,MDF,Rita Blanca NG,RBNG-PC10,,,WEME,1,H,95,80,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC10,,,HOLA,2,H,45,105,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC10,,,HOLA,2,H,90,40,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC10,,,WEME,1,H,270,105,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC10,,,HOLA,1,H,5,60,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC10,,,HOLA,1,H,270,55,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC10,,,WEME,1,S,180,95,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC10,,,GTGR,6,S,195,390,,Flyover,flying in group
6/5/13,MDF,Rita Blanca NG,RBNG-PC11,,,WEME,1,H,210,245,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC11,,,GTGR,4,S,180,110,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC11,,,HOLA,1,H,90,70,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC11,,,HOLA,1,H,65,40,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC11,,,HOLA,1,H,65,100,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC11,,,WEME,1,H,5,90,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC11,,,HOLA,2,S,0,75,,,
6/5/13,MDF,Rita Blanca NG,RBNG-PC11,,,WEME,1,H,0,110,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,AMKE,2,S,120,105,,Flyover,flying together 
6/6/13,MDF,Optima WMA,OPTM-PC1,,,WEME,1,H,340,135,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,LASP,1,H,15,85,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,WEME,1,H,285,150,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,LASP,1,H,270,95,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,HOLA,1,H,275,55,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,RBWO,1,H,195,210,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,CONI,1,H,80,140,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,WEME,1,H,90,185,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,CASP,1,H,0,200,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,TUVU,1,S,70,310,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,HOLA,1,H,145,75,,,
6/6/13,MDF,Optima WMA,OPTM-PC1,,,WEKI,1,S,340,50,,Flyover,flyover
6/6/13,MDF,Optima WMA,OPTM-PC1,,,MODO,2,S,180,200,,Landed,landed together
6/6/13,MDF,Optima WMA,OPTM-PC2,,,CASP,1,H,150,200,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,ECDO,1,S,45,70,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,CASP,1,H,90,150,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,WEME,1,H,100,210,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,RWBL,2,H,0,150,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,EAPH,1,H,5,140,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,COGR,2,S,5,140,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,DOWO,1,H,0,150,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,ECDO,1,S,15,50,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,CONI,1,H,270,105,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,MODO,1,S,15,80,,,
6/6/13,MDF,Optima WMA,OPTM-PC2,,,AMKE,1,S,180,95,,Flyover,flyby
6/6/13,MDF,Optima WMA,OPTM-PC2,,,AMRO,1,H,350,135,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,NOMO,1,H,145,90,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,DICK,2,H,180,105,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,CONI,1,H,0,120,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,GCFL,1,H,180,110,,,by house
6/6/13,MDF,Optima WMA,OPTM-PC3,,,MODO,1,S,170,50,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,WEME,1,H,340,130,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,WEME,1,H,190,200,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,KILL,1,H,180,280,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,LASP,2,S,110,95,,Flyover,flying
6/6/13,MDF,Optima WMA,OPTM-PC3,,,EAPH,1,S,100,105,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,STFL,1,S,130,215,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,CASP,1,H,5,205,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,BHCO,1,H,160,120,,,
6/6/13,MDF,Optima WMA,OPTM-PC3,,,WEKI,2,S,190,40,,Flyover,flyby
6/6/13,MDF,Optima WMA,OPTM-PC4,,,RWBL,4,S,60,200,,,
6/6/13,MDF,Optima WMA,OPTM-PC4,,,HOLA,1,H,95,95,,,
6/6/13,MDF,Optima WMA,OPTM-PC4,,,WEME,1,H,90,180,,,
6/6/13,MDF,Optima WMA,OPTM-PC4,,,WEME,1,H,15,210,,,
6/6/13,MDF,Optima WMA,OPTM-PC4,,,MODO,1,S,0,140,,,
6/6/13,MDF,Optima WMA,OPTM-PC4,,,HOLA,1,H,10,120,,,
6/6/13,MDF,Optima WMA,OPTM-PC4,,,MODO,3,S,350,190,,Landed,"flying, then landed"
6/6/13,MDF,Optima WMA,OPTM-PC4,,,CONI,1,H,280,230,,Flyover,flying
6/6/13,MDF,Optima WMA,OPTM-PC4,,,WEME,1,H,270,95,,,
6/6/13,MDF,Optima WMA,OPTM-PC4,,,RWBL,2,S,90,175,,Flyover,flying
6/6/13,MDF,Optima WMA,OPTM-PC4,,,HOLA,2,H,180,115,,,
6/6/13,MDF,Optima WMA,OPTM-PC4,,,MODO,4,S,90,145,,,
6/6/13,MDF,Optima WMA,OPTM-PC5,,,HOLA,3,S,180,80,,,on road
6/6/13,MDF,Optima WMA,OPTM-PC5,,,CONI,1,H,90,105,,,
6/6/13,MDF,Optima WMA,OPTM-PC5,,,CONI,1,H,270,95,,,
6/6/13,MDF,Optima WMA,OPTM-PC5,,,WEME,1,H,0,210,,,
6/6/13,MDF,Optima WMA,OPTM-PC5,,,CASP,1,H,180,200,,,
6/6/13,MDF,Optima WMA,OPTM-PC5,,,CASP,1,H,0,170,,,
6/6/13,MDF,Optima WMA,OPTM-PC5,,,GRSP,1,H,0,45,,,
6/6/13,MDF,Optima WMA,OPTM-PC5,,,HOLA,1,H,10,65,,,
6/6/13,MDF,Optima WMA,OPTM-PC5,,,MODO,1,S,90,140,,Flyover,flyby
6/6/13,MDF,Optima WMA,OPTM-PC5,,,MODO,1,S,360,10,,Flyover,flyover
6/6/13,MDF,Optima WMA,OPTM-PC5,,,WEME,1,H,180,160,,,
6/6/13,MDF,Optima WMA,OPTM-PC6,,,CASP,1,H,180,240,,,
6/6/13,MDF,Optima WMA,OPTM-PC6,,,WEME,1,H,160,45,,,
6/6/13,MDF,Optima WMA,OPTM-PC6,,,WEME,1,H,95,110,,,
6/6/13,MDF,Optima WMA,OPTM-PC6,,,LASP,1,S,150,55,,Flyover,flyby
6/6/13,MDF,Optima WMA,OPTM-PC6,,,WEME,1,H,80,270,,,
6/6/13,MDF,Optima WMA,OPTM-PC6,,,MODO,1,H,100,100,,,
6/6/13,MDF,Optima WMA,OPTM-PC6,,,WEME,1,S,360,220,,Flyover,flying
6/6/13,MDF,Optima WMA,OPTM-PC6,,,CONI,1,H,190,75,,,
6/6/13,MDF,Optima WMA,OPTM-PC6,,,CASP,1,H,95,195,,,
6/6/13,MDF,Optima WMA,OPTM-PC6,,,WEKI,1,S,45,90,,Flyover,flycatching
6/6/13,MDF,Optima WMA,OPTM-PC7,,,WEME,1,H,0,180,,,
6/6/13,MDF,Optima WMA,OPTM-PC7,,,WEME,1,S,95,70,,,
6/6/13,MDF,Optima WMA,OPTM-PC7,,,CASP,1,H,180,215,S,,somewhat distant
6/6/13,MDF,Optima WMA,OPTM-PC7,,,WEME,1,H,280,205,,,
6/6/13,MDF,Optima WMA,OPTM-PC7,,,CONI,1,H,185,75,,,
6/6/13,MDF,Optima WMA,OPTM-PC7,,,HOLA,1,H,15,65,,,
6/6/13,MDF,Optima WMA,OPTM-PC7,,,HOLA,1,H,340,70,,,
6/6/13,MDF,Optima WMA,OPTM-PC7,,,GRSP,1,H,0,50,S,,singing w/ next GRSP
6/6/13,MDF,Optima WMA,OPTM-PC7,,,GRSP,1,H,290,80,,,
6/6/13,MDF,Optima WMA,OPTM-PC7,,,BHCO,1,H,100,155,,Flyover,flying
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,DICK,1,S,60,30,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,DICK,1,H,320,75,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,EAME,1,H,40,135,S,Flyover,flight song heard
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,EAME ,1,H,180,210,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,GRSP,1,H,0,65,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,DICK,1,H,350,200,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,DICK,1,H,185,90,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,GRSP,1,H,85,100,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,GTGR,1,S,290,180,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,STFL,1,S,290,185,A,,harassing GTGR
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,EAME,1,H,200,210,,,distant
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC2,,,TUVU,1,S,10,420,,Flyover,flying in distance 
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,GRSP,1,H,350,75,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,DICK,1,H,10,80,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,DICK,1,H,15,105,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,YEWA,1,H,90,140,,,faint
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,EAME,1,S,0,100,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,DICK,1,H,110,120,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,BARS,1,S,5,105,,Flyover,flying
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,GTGR,1,S,40,310,,Flyover,flying
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,NOBO,1,H,180,215,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,RWBL,2,H,275,155,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,EAME,1,H,90,110,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,CLSW,4,S,45,140,,Flyover,flying
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC6,,,COGR,4,S,80,40,,Flyover,flyby
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC10,,,RWBL,1,H,90,135,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC10,,,EAME,1,H,295,160,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC10,,,DICK,1,H,0,105,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC10,,,DICK,1,H,15,115,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC10,,,RWBL,4,S,130,130,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC10,,,EAME,1,H,185,210,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC10,,,DICK,1,H,190,120,,,
6/10/13,MDF,Grazinglands Res Lab,GRLB-PC10,,,LASP,1,S,5,90,,Landed,"flying, then landed"
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,WEME,1,H,130,200,,,
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,WEME,1,H,320,150,,,
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,HOLA,1,H,0,50,,,
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,BARS,1,S,270,45,,Flyover,flyby
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,TRSW,1,S ,270,50,,Flyover,flyby
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,GRSP,1,H,150,75,,,
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,HOLA,1,H,310,80,,,
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,HOLA,1,H,90,145,,,
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,MODO,1,H,260,190,,,
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,CLSW,1,S,250,15,,Flyover,flyby
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,MODO,1,H,180,180,,,
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,COGR,2,S,290,105,,Flyover,flyover
6/11/13,MDF,Sandy Sanders WMA,SAND-PC1,,,NOBO,1,H,180,300,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,CASP,1,H,0,105,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,CONI,2,S,310,180,,Flyover,flying together
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,CASP,1,H,280,170,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,GRSP,1,H,95,90,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,BRTH,1,H,250,65,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,FISP,1,H,330,245,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,CASP,1,H,90,130,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,NOBO,1,H,100,120,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,MODO,2,S,280,15,,Flyover,flyover
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,LASP,1,S,250,70,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,MODO,1,S,250,75,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,DICK,1,H,345,155,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,EAME,1,H,180,105,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,NOBO,1,H,0,200,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,NOBO,1,H,130,210,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,BHCO,1,H,160,85,,Flyover,flyover
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,EAME,1,H,45,215,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,LASP,2,S,95,50,P,,perched together
6/7/13,MDF,Ellis Co. WMA,ELIS-PC2,,,DICK,1,H,270,110,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,DOWO,1,H,0,75,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,BLGR,1,H,290,55,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,BGGN,1,H,90,100,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,LASP,1,H,80,130,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,NOBO,1,H,270,210,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,CASP,1,H,170,175,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,NOCA,1,H,105,150,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,FISP,1,H,50,95,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,GCFL,1,H,320,115,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,CACH,1,H,5,85,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,CASP,1,H,210,250,,,distant 
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,RWBL,1,H,125,200,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,CACH,3,S,35,70,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,SOSP,1,H,90,135,,,
6/7/13,MDF,Ellis Co. WMA,ELIS-PC5,,,YBCU,1,H,45,100,,,
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,WEME ,1,S,310,15,,,
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,YBCU,1,H,95,170,,,
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,STFL,2,S,180,10,,,
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,NOMO,1,H,190,155,,,
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,PABU,1,H,45,230,,,
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,NOBO,1,H,90,300,,,
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,LOSH,1,H,200,130,,,later seen
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,STFL,1,H,200,115,,,
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,NOBO,1,H,285,310,,,distant
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,EAME,1,H,260,145,,,
6/7/13,MDF,Ellis Co. WMA,BKNG-PC2,,,BHCO,1,S,0,95,,Flyover,flyby
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,NOBO,1,H,185,200,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,CASP,1,H,5,130,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,CONI,1,H,180,115,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,EAME,1,H,200,165,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,BARS,1,S,35,50,,,perched
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,EAME,1,H,170,125,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,CASP,1,H,170,170,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,GRSP,1,H,210,75,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,WEME,1,H,230,185,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,CASP,1,H,200,205,,,distant
6/7/13,MDF,Black Kettle NG,BKNG-PC5,,,CLSW,1,S,120,45,,Flyover,flying
6/7/13,MDF,Black Kettle NG,BKNG-PC7,,,BEWR,1,H,0,100,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC7,,,WEME,1,H,270,210,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC7,,,CASP,1,H,180,125,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC7,,,KILL,1,H,10,300,,,distant
6/7/13,MDF,Black Kettle NG,BKNG-PC7,,,CASP,1,S,10,95,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC7,,,DICK,1,H,310,105,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC7,,,DICK,1,H,330,180,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC7,,,LASP,2,S,20,120,A,,fighting by treeline
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,GRSP,1,H,0,90,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,EAME,1,H,350,180,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,DICK,1,H,90,120,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,EAME,1,H,15,150,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,CASP,1,H,330,125,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,WEME,1,H,180,165,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,DICK,1,H,270,110,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,GRSP,1,H,270,75,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,EAME,1,H,240,155,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,LASP,1,H,185,90,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,WEME,1,H,35,210,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,DICK,1,H,90,85,,,
6/7/13,MDF,Black Kettle NG,BKNG-PC11,,,NOBO,1,H,290,260,,,
6/29/13,MDF,Rita Blanca NG,RBNG-PC23,,,LBCU,8,S,180,95,,,
6/29/13,MDF,Rita Blanca NG,RBNG-PC23,,,HOLA,2,H,0,45,,,
6/29/13,MDF,Rita Blanca NG,RBNG-PC23,,,CASP,1,H,340,110,,,
6/29/13,MDF,Rita Blanca NG,RBNG-PC23,,,WEME,1,H,5,150,,,
6/29/13,MDF,Rita Blanca NG,RBNG-PC23,,,WEME,1,H,10,70,,,
6/29/13,MDF,Rita Blanca NG,RBNG-PC23,,,CASP,1,H,15,125,,,
6/29/13,MDF,Rita Blanca NG,RBNG-PC23,,,BARS,1,S,95,95,,,
